feature,mean_importance,std_importance,abs_mean_importance,sample_count
Heading <= 113.50,0.0013293462424293666,7.403017947950298e-05,0.0013293462424293666,3
-60.35 < COG <= 84.93,0.0013211834432003712,6.358424510409772e-05,0.0013211834432003712,3
Length <= 30.00,0.0013179700025579648,2.9623183084450887e-05,0.0013179700025579648,3
Draft <= 3.50,0.0012586130099147264,3.8667870447144655e-05,0.0012586130099147264,3
Width <= 9.00,0.0010970892135320175,4.89559032384494e-05,0.0010970892135320175,3
SOG <= 0.00,0.0006480571535653592,5.5719227073010094e-05,0.0006480571535653592,3
